5343.77984 17.882 0.021
5343.81892 17.620 0.020
5348.60385 17.748 0.019
5348.67332 17.890 0.020
5349.60280 17.836 0.023
5349.68458 17.779 0.019
5349.77939 17.846 0.023
5349.81740 17.637 0.015
5349.85661 17.642 0.019
5350.65501 17.626 0.018
5350.69256 17.732 0.020
5350.73127 17.941 0.021
5351.59336 17.806 0.016
5351.65050 17.618 0.013
5351.72964 17.717 0.015
5351.81565 17.884 0.019
5351.88988 17.673 0.022
5352.60457 17.829 0.020
5352.65291 17.645 0.015
5353.63610 17.917 0.017
5353.71286 17.638 0.013
5354.57684 17.713 0.017
5354.65862 17.915 0.018
5354.75393 17.622 0.015
5354.83017 17.722 0.016
5355.59969 17.636 0.014
5355.68424 17.918 0.017
5355.77130 17.695 0.017
5357.61272 17.666 0.017
5357.68183 17.667 0.016
5357.77227 17.880 0.020
5357.87253 17.622 0.020
5358.65069 17.632 0.013
5358.74524 17.754 0.015
5358.85541 17.934 0.020
5359.57813 17.854 0.021
5359.62235 17.860 0.019
5359.67552 17.668 0.015
5359.72347 17.611 0.016
5359.77289 17.670 0.015
5359.81301 17.761 0.016
5359.85869 17.892 0.021
5359.89795 17.874 0.024
5361.67055 17.890 0.020
5362.58518 17.645 0.020
5362.66595 17.763 0.014
5362.76045 17.849 0.016
5362.88043 17.700 0.023
5364.52304 17.811 0.019
5364.56802 17.890 0.016
5364.63942 17.632 0.012
5364.73525 17.770 0.019
5364.79226 17.892 0.023
5364.83164 17.854 0.018
5364.87163 17.763 0.018
5365.54087 17.840 0.022
5365.58529 17.918 0.019
5365.65977 17.681 0.017
5365.75562 17.699 0.016
5365.83031 17.924 0.020
5365.86896 17.939 0.025
5368.61480 17.726 0.017
5368.79293 17.619 0.015
5369.74034 17.895 0.025
5369.78516 17.816 0.028
5369.82442 17.688 0.019
5376.63062 17.624 0.020
5376.67023 17.723 0.022
5376.71048 17.787 0.020
5376.74874 17.858 0.023
5376.78701 17.887 0.020
5376.82520 17.802 0.023
5376.86316 17.602 0.024
5377.51919 17.849 0.019
5377.56121 17.841 0.020
5377.60253 17.734 0.020
5377.64892 17.625 0.013
5377.66934 17.625 0.015
5377.71456 17.700 0.014
5377.75764 17.757 0.016
5377.80034 17.899 0.020
5377.83855 17.912 0.022
5378.49282 17.671 0.015
5378.56315 17.837 0.015
5378.64782 17.810 0.016
5378.72418 17.602 0.014
5379.51759 17.665 0.017
5379.59958 17.864 0.016
5380.52908 17.590 0.013
5380.58206 17.686 0.013
5380.66844 17.918 0.015
5380.72484 17.823 0.015
5380.76309 17.612 0.015
5381.53860 17.608 0.016
5381.61629 17.762 0.022
5381.67572 17.775 0.018
5381.71401 17.947 0.023
5381.75216 17.766 0.024
5381.79907 17.637 0.019
5381.83720 17.653 0.023
5382.52737 17.899 0.021
5382.56493 17.731 0.023
5382.61437 17.537 0.016
5382.65295 17.687 0.017
5382.69407 17.771 0.016
5382.73389 17.825 0.019
5382.82244 17.839 0.025
5383.77803 17.914 0.024
5384.80155 17.915 0.033
5385.47211 17.631 0.016
5385.51133 17.669 0.014
5385.52508 17.680 0.014
5387.50533 17.742 0.013
5388.46914 17.904 0.021
5388.50676 17.924 0.018
5388.56664 17.632 0.014
5389.46717 17.821 0.024
5389.50607 17.844 0.019
5389.54455 17.793 0.016
5390.53932 17.809 0.019
5390.67075 17.622 0.017
5390.72045 17.676 0.014
5390.75870 17.769 0.014
5391.47145 17.634 0.020
5391.53056 17.769 0.017
5391.56790 17.909 0.021
5391.65144 17.877 0.017
5392.46759 17.677 0.020
5392.50542 17.616 0.015
5392.54442 17.670 0.015
5392.62834 17.877 0.015
5393.65227 17.852 0.019
5393.69069 17.892 0.019
5393.72862 17.872 0.021
5393.77412 17.716 0.019
5393.81199 17.609 0.020
5396.52650 17.941 0.024
5396.60076 17.792 0.017
5396.66389 17.650 0.016
5396.77094 17.833 0.015
5397.70206 17.648 0.019
5402.64042 17.598 0.023
5402.65695 17.613 0.022
5403.49325 17.771 0.016
5403.53041 17.802 0.016
5403.56793 17.918 0.019
5403.60841 17.828 0.018
